40
-1	0.001282051282
-0.9952979292	0.0078910116
-0.9842662807	0.01415930755
-0.9670100765	0.0203347591
-0.9436397649	0.0263811907
-0.9143033397	0.0322607179
-0.8791863435	0.0379362437
-0.8385108228	0.0433719082
-0.7925339526	0.0485333538
-0.7415464191	0.053387952
-0.6858705851	0.057905012
-0.6258584528	0.0620559765
-0.5618894393	0.0658146022
-0.4943679781	0.0691571263
-0.4237209622	0.0720624163
-0.3503950449	0.0745121042
-0.2748538167	0.07649070243
-0.1975748737	0.0779857016
-0.1190467984	0.0789876499
-0.0397660708	0.07949021276
0.0397660708	0.07949021276
0.1190467984	0.0789876499
0.1975748737	0.0779857016
0.2748538167	0.07649070243
0.3503950449	0.0745121042
0.4237209622	0.0720624163
0.4943679781	0.0691571263
0.5618894393	0.0658146022
0.6258584528	0.0620559765
0.6858705851	0.057905012
0.7415464191	0.053387952
0.7925339526	0.0485333538
0.8385108228	0.0433719082
0.8791863435	0.0379362437
0.9143033397	0.0322607179
0.9436397649	0.0263811907
0.9670100765	0.0203347591
0.9842662807	0.01415930755
0.9952979292	0.0078910116
1	0.001282051282
